total_time,timedelta,Battleship.x,Battleship.y,Battleship.angle,Battleship.current_speed,Battleship.collision_warning,Battleship.collision_event,Battleship.Engine.desired_speed
0,0,200,200,90,15,False,False,15
0.7016271000029519,0.7016271000029519,207.4418792041451,207.4418792041451,315.0,15,False,False,15
0.8441732334904373,0.14254613348748535,208.95380926845894,208.95380926845894,315.0,15,True,False,15
0.9674015333876014,0.1232282998971641,210.26084276582955,210.26084276582955,315.0,15,True,False,15
1.0577461668290198,0.09034463344141841,211.21909231008314,211.21909231008314,315.0,15,True,False,15
1.1259706668788567,0.06822450004983693,211.94272240950767,211.94272240950767,315.0,15,True,False,15
1.210444500320591,0.08447383344173431,212.83870271639978,212.83870271639978,315.0,15,True,False,15
1.284902500337921,0.07445800001733005,213.62844906728742,213.62844906728742,315.0,15,True,False,15
1.3580300336470827,0.07312753330916166,214.40408368770272,214.40408368770272,315.0,15,True,False,15
1.430283333756961,0.07225330010987818,215.17044566476474,215.17044566476474,315.0,15,True,False,15
1.4979113336885348,0.06762799993157387,215.88774892501024,215.88774892501024,315.0,15,True,False,15
1.5770370671525598,0.07912573346402496,216.72700406549183,216.72700406549183,315.0,15,True,False,15
1.6425202671671286,0.06548320001456887,217.42155828725328,217.42155828725328,315.0,15,True,False,15
1.7091133671347052,0.06659309996757656,218.12788477576288,218.12788477576288,315.0,15,True,False,15
1.7774627670878544,0.06834939995314926,218.85283963871643,218.85283963871643,315.0,15,True,False,15
1.8585981004871428,0.08113533339928836,219.71340980532347,219.71340980532347,315.0,15,True,False,15
2.3633765005506575,0.5047784000635147,225.06739325054457,225.06739325054457,315.0,15,True,False,15
2.437937833950855,0.07456133340019733,225.85823561746844,225.85823561746844,315.0,15,True,False,15
2.501174633973278,0.06323680002242327,226.52896316921434,226.52896316921434,315.0,15,True,False,15
2.5629581339890137,0.061783500015735626,227.18427614661283,227.18427614661283,315.0,15,True,False,15
2.6209407339338213,0.05798259994480759,227.79927449078983,227.79927449078983,315.0,15,True,False,15
2.6874044339638203,0.06646370002999902,228.50422848569923,228.50422848569923,315.0,15,True,False,15
2.747390033910051,0.05998559994623065,229.14047185313208,229.14047185313208,315.0,15,True,False,15
2.8068261339794844,0.05943610006943345,229.77088689422777,229.77088689422777,315.0,15,True,False,15
2.8805811339989305,0.07375500001944602,230.55317680413023,230.55317680413023,315.0,15,True,False,15
2.9437745339237154,0.0631933999247849,231.22344402832596,231.22344402832596,315.0,15,True,False,15
3.006904533947818,0.06313000002410263,231.8930387950262,231.8930387950262,315.0,15,True,False,15
3.071476834011264,0.06457230006344616,232.57793146380132,232.57793146380132,315.0,15,True,False,15
3.1298564339522272,0.05837959994096309,233.1971406288195,233.1971406288195,315.0,15,True,False,15
3.1868343339301646,0.05697789997793734,233.80148252060204,233.80148252060204,315.0,15,True,False,15
3.248656034003943,0.06182170007377863,234.4572006708018,234.4572006708018,315.0,15,True,False,15
3.3102811339776963,0.061625099973753095,235.1108335620429,235.1108335620429,315.0,15,True,False,15
3.378966933931224,0.06868579995352775,235.83935648581834,235.83935648581834,315.0,15,True,False,15
3.4547383673489094,0.07577143341768533,236.6430339016664,236.6430339016664,315.0,15,True,False,15
3.5122785674175248,0.05754020006861538,237.25333988655663,237.25333988655663,315.0,15,True,False,15
3.5770730674266815,0.06479450000915676,237.94058934165764,237.94058934165764,315.0,15,True,False,15
3.636019167373888,0.058946099947206676,238.56580714661519,238.56580714661519,315.0,15,True,False,15
3.6950147673487663,0.05899559997487813,239.19154997865127,239.19154997865127,315.0,15,True,False,15
3.762810567393899,0.06779580004513264,239.91063302786947,239.91063302786947,315.0,15,True,False,15
3.851951300748624,0.08914073335472494,240.85611328339547,240.85611328339547,315.0,15,True,False,15
3.916625300771557,0.06467400002293289,241.54208464313558,241.54208464313558,315.0,15,True,False,15
3.9833141007693484,0.06668879999779165,242.24942618375005,242.24942618375005,315.0,15,True,False,15
4.051628434215672,0.06831433344632387,242.97400911023206,242.97400911023206,315.0,15,True,False,15
4.113064234261401,0.061435800045728683,243.6256341725314,243.6256341725314,315.0,15,True,False,15
4.170198034262285,0.05713380000088364,244.2316296337651,244.2316296337651,315.0,15,True,False,15
4.230165034183301,0.059966999921016395,244.86767571813854,244.86767571813854,315.0,15,True,False,15
4.289883834193461,0.05971880001015961,245.50108924491116,245.50108924491116,315.0,15,True,False,15
4.349019034183584,0.05913519999012351,246.12831275870874,246.12831275870874,315.0,15,True,False,15
4.414555434253998,0.06553640007041395,246.8234312522739,246.8234312522739,315.0,15,True,False,15
4.472415934200399,0.05786049994640052,247.43713453039805,247.43713453039805,315.0,15,True,False,15
4.533409234252758,0.0609933000523597,248.0840661715076,248.0840661715076,315.0,15,True,False,15
4.590901134186424,0.05749189993366599,248.6938598561035,248.6938598561035,315.0,15,True,False,15
4.660273534245789,0.06937240005936474,249.42966527374094,249.42966527374094,315.0,15,True,False,15
4.723096134257503,0.0628226000117138,250.09599957094173,250.09599957094173,315.0,15,True,False,15
4.78095293417573,0.0578567999182269,250.7096636043407,250.7096636043407,315.0,15,True,False,15
4.839553234167397,0.05860029999166727,251.3312136468958,251.3312136468958,315.0,15,True,False,15
4.9023339342093095,0.0627807000419125,251.99710352780494,251.99710352780494,315.0,15,True,False,15
4.966024734196253,0.0636907999869436,252.6726464763544,252.6726464763544,315.0,15,True,False,15
5.033577534253709,0.0675528000574559,253.3891521214859,253.3891521214859,315.0,15,True,False,15
5.107849167659879,0.07427163340616971,254.17692175595545,254.17692175595545,315.0,15,True,False,15
